1648234567.123, [0.2, 0.8, 0.1, 0.4, 0.9, 0.3]
1648234567.223, [0.3, 0.7, 0.2, 0.5, 0.8, 0.2]
1648234567.323, [0.4, 0.6, 0.3, 0.6, 0.7, 0.1]
1648234567.423, [0.3, 0.5, 0.4, 0.7, 0.6, 0.2]
1648234567.523, [0.2, 0.4, 0.5, 0.6, 0.5, 0.3]
1648234567.623, [0.1, 0.5, 0.6, 0.5, 0.4, 0.4]
1648234567.723, [0.2, 0.6, 0.7, 0.4, 0.3, 0.5]
1648234567.823, [0.3, 0.7, 0.6, 0.3, 0.4, 0.6]
1648234567.923, [0.4, 0.8, 0.5, 0.2, 0.5, 0.7]
1648234568.023, [0.5, 0.7, 0.4, 0.3, 0.6, 0.8]
1648234568.123, [0.6, 0.6, 0.3, 0.4, 0.7, 0.9]
1648234568.223, [0.7, 0.5, 0.2, 0.5, 0.8, 0.8]
1648234568.323, [0.8, 0.4, 0.1, 0.6, 0.9, 0.7]
1648234568.423, [0.9, 0.3, 0.2, 0.7, 0.8, 0.6]
1648234568.523, [0.8, 0.2, 0.3, 0.8, 0.7, 0.5]
1648234568.623, [0.7, 0.3, 0.4, 0.9, 0.6, 0.4]
1648234568.723, [0.6, 0.4, 0.5, 0.8, 0.5, 0.3]
1648234568.823, [0.5, 0.5, 0.6, 0.7, 0.4, 0.2]
1648234568.923, [0.4, 0.6, 0.7, 0.6, 0.3, 0.1]
1648234569.023, [0.3, 0.7, 0.8, 0.5, 0.2, 0.2]
